event-id,timestamp,location-long,location-lat,ground-speed,height-above-ellipsoid,individual-taxon-canonical-name,eobs:temperature,tag-local-identifier,individual-local-identifier,date,road_id
239769795,2013-07-16 12:04:53.000,15.6376981,52.0920616,0.03,127.3,Ciconia ciconia,34.0,3048,PLG 5P311 (3048),2013-07-16 12:04:53.000,30481
239769807,2013-07-16 13:05:07.000,15.6375155,52.0921922,0.46,128.6,Ciconia ciconia,32.0,3048,PLG 5P311 (3048),2013-07-16 13:05:07.000,30481
239769819,2013-07-16 14:05:07.000,15.6374124,52.0921317,0.55,125.3,Ciconia ciconia,30.0,3048,PLG 5P311 (3048),2013-07-16 14:05:07.000,30481
239769831,2013-07-16 15:05:07.000,15.637464,52.0921286,0.12,133.3,Ciconia ciconia,34.0,3048,PLG 5P311 (3048),2013-07-16 15:05:07.000,30481
239769843,2013-07-16 16:05:23.000,15.6376319,52.0921636,0.1,134.2,Ciconia ciconia,32.0,3048,PLG 5P311 (3048),2013-07-16 16:05:23.000,30481
239769856,2013-07-16 17:10:08.000,15.6376503,52.0921084,0.12,138.3,Ciconia ciconia,30.0,3048,PLG 5P311 (3048),2013-07-16 17:10:08.000,30481
239769869,2013-07-16 18:15:08.000,15.6376588,52.0921175,0.49,133.6,Ciconia ciconia,26.0,3048,PLG 5P311 (3048),2013-07-16 18:15:08.000,30481
239769881,2013-07-16 19:15:08.000,15.6376139,52.0921238,0.07,130.5,Ciconia ciconia,24.0,3048,PLG 5P311 (3048),2013-07-16 19:15:08.000,30481
239769891,2013-07-17 02:00:23.000,15.6376005,52.0921448,0.07,131.8,Ciconia ciconia,20.0,3048,PLG 5P311 (3048),2013-07-17 02:00:23.000,30481
239769904,2013-07-17 03:05:07.000,15.6375715,52.0921477,0.13,133.9,Ciconia ciconia,20.0,3048,PLG 5P311 (3048),2013-07-17 03:05:07.000,30481
239769916,2013-07-17 04:05:07.000,15.6370668,52.0927893,1.39,106.8,Ciconia ciconia,22.0,3048,PLG 5P311 (3048),2013-07-17 04:05:07.000,30481
239769928,2013-07-17 05:05:07.000,15.6375588,52.0921511,0.09,136.5,Ciconia ciconia,27.0,3048,PLG 5P311 (3048),2013-07-17 05:05:07.000,30481
239769941,2013-07-17 06:10:07.000,15.6375777,52.0921802,0.25,131.3,Ciconia ciconia,29.0,3048,PLG 5P311 (3048),2013-07-17 06:10:07.000,30481
239769954,2013-07-17 07:15:07.000,15.6375083,52.0922241,0.36,124.4,Ciconia ciconia,38.0,3048,PLG 5P311 (3048),2013-07-17 07:15:07.000,30481
239769967,2013-07-17 08:20:07.000,15.6375585,52.092155,0.09,138.7,Ciconia ciconia,40.0,3048,PLG 5P311 (3048),2013-07-17 08:20:07.000,30481
239769979,2013-07-17 09:20:07.000,15.6376158,52.0921501,0.49,141.8,Ciconia ciconia,38.0,3048,PLG 5P311 (3048),2013-07-17 09:20:07.000,30481
239769991,2013-07-17 10:20:07.000,15.637671,52.0921422,0.29,143.7,Ciconia ciconia,45.0,3048,PLG 5P311 (3048),2013-07-17 10:20:07.000,30481
239770004,2013-07-17 11:20:08.000,15.6377273,52.0922919,0.22,151.8,Ciconia ciconia,37.0,3048,PLG 5P311 (3048),2013-07-17 11:20:08.000,30481
239770017,2013-07-17 12:25:07.000,15.6376489,52.0920965,1.16,134.4,Ciconia ciconia,43.0,3048,PLG 5P311 (3048),2013-07-17 12:25:07.000,30481
239770029,2013-07-17 13:25:07.000,15.6376424,52.0921537,0.24,144.1,Ciconia ciconia,39.0,3048,PLG 5P311 (3048),2013-07-17 13:25:07.000,30481
239770041,2013-07-17 14:25:07.000,15.6375801,52.0921666,0.03,137.5,Ciconia ciconia,42.0,3048,PLG 5P311 (3048),2013-07-17 14:25:07.000,30481
239770053,2013-07-17 15:25:07.000,15.6375883,52.0921715,0.26,129.4,Ciconia ciconia,35.0,3048,PLG 5P311 (3048),2013-07-17 15:25:07.000,30481
